Vendor,Item Type,Name,Description,Quantity,Unit Price,Is Taxed,Is Track Inventory,Inventory Count,Unit Cost,Item Number 
,Service,Silver,"Weekly Chlorine, pH, and alkalinity treatment Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment)",1,104,NO,NO,0,0,
,Service,Gold,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pool surface skimmed - Pool walls and steps brushed - Pumps, filters, and controls checked for serviceability and proper operation Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment) - Pump timers adjusted for seasonally appropriate cleaning, and solar heating where installed",1,145,NO,NO,0,0,
,Service,Silver+,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pumps, filters, and controls checked for serviceability and proper operation Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment)",1,145,NO,NO,0,0,
,Service,Platinum,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pool surface skimmed - Pool walls and steps brushed - Debris removed from pool floor - Pumps, filters, and controls checked for serviceability and proper operation - Troubleshoot and repair minor problems (up to 1/4 hour) Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment) - Pump timers adjusted for seasonally appropriate cleaning, and solar heating where installed",0,165,NO,NO,0,0,
,Service,Monthly Pool Service,,1,100,NO,NO,0,0,
,Service,Filter Cleaning - Standard Style Cartridge,,1,139,NO,NO,0,0,
,Service,Service Repair,,1,125,NO,NO,0,0,
,Service,Rola-Chem - Install,"Install Rola-Chem Pro Series 300 chemical feed system, including mounting, plumbing connections, electrical wiring, and calibration to ensure accurate and efficient chemical dosing.",1,725,NO,NO,0,0,50200
,Service,Pump - Replacement (Whisperflow),"Replace pool pump: remove old unit, install new pump with matching plumbing and electrical connections, test for proper operation and no leaks. Includes parts and labor.",1,2899,NO,NO,0,2899,50100
,Service,County Permit Filing,,1,250,NO,NO,0,0,
,Product,Rola Chem 15 gal Chemical Tank with Cover,"Durable, high-density polyethylene tank designed for safe and reliable storage of pool and spa chemicals. Features a compact footprint, secure lid to prevent spills, and compatibility with chemical feed systems for easy integration into your maintenance setup.",1,235,NO,NO,0,0,
,Product,Filter Cartridge - CCP420,,1,558,NO,NO,0,0,
,Product,Filter Cartridge - CCP520,,1,588,NO,NO,0,0,
,Product,Filter Cartridge - S7M120,,1,578,NO,NO,0,0,
,Product,Filter Cartridge - S8M150,"Replace S8M150 filters, including removal of old filter cartridges, inspection of filter housing, installation of new cartridges, and system testing to ensure proper filtration and optimal pool performance.",1,828,NO,NO,0,0,
,Service,Filter Cleaning - S7M120/S8M150,,1,143,NO,NO,0,0,
,Service,Pool Service,,1,100,NO,NO,0,0,
,Service,Annual Pool Service,,1,1600,NO,NO,0,0,
,Service,Semi_annual Pool Service,,0,800,NO,NO,0,0,
,Service,Installation,,0,150,NO,NO,0,0,
,Service,Pump - Seal Replacement,"Disassemble pump, remove worn seal between housing and impeller, install new seal, reassemble, and test for proper operation and leak prevention. Includes parts and labor.",1,249,NO,NO,0,0,
,Service,Pump - Basket Lid O-ring,"Replace pool pump basket main O-ring, including disassembly, removal of the old O-ring, installation of a new O-ring, and reassembly to ensure a proper seal and prevent leaks.",1,79,NO,NO,0,0,
,Service,Pool Drain - CYA Reduction,"Drain and refill pool to reduce Cyanuric Acid levels, including thorough scrubbing of pool walls and surfaces to remove buildup. Service ensures improved water quality, proper chemical balance, and a clean, refreshed pool ready for use.",1,799,NO,NO,0,0,
,Service,Pump - Motor Replacement,"Replace pool/spa pump motor, including disconnection and removal of the old motor, replacement of all gaskets and seals, resealing and re-lubricating components, and connection of the new motor with professional-grade electrical work. Service ensures proper installation, leak prevention, and safe, efficient pump operation.",1,1499,NO,NO,0,0,
,Service,Demo - Remove Chem Feeder Equipment,"Demolish and remove existing chemical feeder, including disconnection from plumbing and electrical systems, removal of existing fittings tied into the plumbing, and sealing of connections to ensure no leaks. Service prepares the area for new equipment or repurposing while maintaining system integrity.",1,249,NO,NO,0,0,
,Service,Electrical - Chem Feeder/Pump Power Interlock,"Rewire existing chemical feeder to interlock with the pool/spa pump power supply, ensuring the feeder operates only when the pump is running. Service includes electrical adjustments for safety, compliance, and synchronized system operation.",1,119,NO,NO,0,0,
,Service,Plumbing - Replumb Chem Feeder,"Replumb chemical feeder, including replacement of the pinch tube, all fittings, and clamps. Service ensures secure connections, proper chemical flow, and leak-free operation for optimal system performance.",1,109,NO,NO,0,0,
,Service,Service Call/Diagnostic Fee,"Covers an on-site visit to assess and diagnose issues with your pool or spa. Includes inspection of equipment, evaluation of water chemistry, and a professional diagnosis with recommendations for repair or resolution.",1,150,NO,NO,0,0,
,Service,Winter Fee,"Additional fee for performing work while submerged in water during winter conditions. Includes compensation for increased time, effort, and equipment required to safely and effectively complete the task in cold water.",1,199,NO,NO,0,0,
,Service,Pool Start-up Service,"Balance total alkalinity with sodium bicarbonate, calcium hardness with calcium chloride, and pH with muriatic acid or soda ash, targeting ranges of 80-120 ppm, 200-400 ppm, and 7.2-7.8 respectively. Sanitize with chlorine, use algaecide for algae control, and clarifier for clarity. After initial treatments, retest and adjust as needed. We monitor these chemical levels multiple times a week to maintain optimal pool conditions.",1,196,NO,NO,0,0,
,Service,Gauge Repair,"This service includes the removal of the old or faulty pressure/vacuum gauge and the installation of a new, fully functional gauge to ensure accurate pressure readings. The replacement will eliminate any leaks associated with the faulty gauge, helping to maintain proper system pressure and prevent water loss. The service also includes testing the new gauge to confirm its accuracy and functionality.",1,219,NO,NO,0,0,
,Service,Leak Repair,"This service involves repairing the identified leak in the pool system. The process includes replacing or resealing faulty components such as pipes, fittings, or gaskets as needed. This repair will restore proper functionality, prevent further water loss, and ensure the system operates efficiently. The service also includes testing the system after the repair to confirm that the leak has been resolved.",1,139,NO,NO,0,0,
,Service,Electrical - Troubleshoot GFCI Circuit,"Inspect wiring, test outlet/breaker function, repair faults or replace defective GFCI outlet/breaker. Includes parts and labor.",1,299,NO,NO,0,0,
,Service,Demolition,,1,150,NO,NO,0,0,
,Product,Material Cost,,1,149,NO,NO,0,0,
,Product,VGB Cover,Material cost for drain covers that comply with the Virginia Graeme Baker Pool and Spa Safety Act.,1,99,NO,NO,0,0,
,Service,VGB Cover - Permit,"Obtain Sacramento County building permit for VGB replacement. Required prior to work to ensure compliance with Virginia Graeme Baker (VGB) Pool & Spa Safety Act for anti-entrapment safety, including suction outlets, drain covers, and hydraulic balance; covers mechanical/electrical aspects. Includes application, fees, plan review, and processing.",1,225,NO,NO,0,0,
,Service,VGB Cover - Main Drain - Install (Pool),"Install VGB-compliant main drain cover to the floor of the pool, ensuring proper attachment to meet safety standards, prevent entrapment hazards, and maintain pool circulation efficiency. Includes inspection of existing drain structure, removal of existing drain cover, and secure fastening of the new cover.",1,349,NO,NO,0,0,
,Service,VGB Cover - Equalizer - Install,"Install VGB-compliant cover to the wall of the pool or spa, often referred to as ""equalizer lines"". Ensures proper attachment to meet safety standards, prevent entrapment hazards, and maintain pool circulation efficiency. Includes inspection of existing drain structure, removal of existing drain cover, and secure fastening of the new cover.",1,189,NO,NO,0,0,
,Service,VGB Cover - Main Drain - Install (Spa),"Install VGB-compliant main drain cover to the floor of the spa, ensuring proper attachment to meet safety standards, prevent entrapment hazards, and maintain pool circulation efficiency. Includes inspection of existing drain structure, removal of existing drain cover, and secure fastening of the new cover.",1,189,NO,NO,0,0,
,Service,Semi Annual Chemical Rebalance,,1,29,NO,NO,0,0,
,Service,Installation - Lightbulb,"Remove existing bulb and install a new pool light bulb. Includes inspection of the light housing, resealing the unit, and testing to ensure proper operation and watertight integrity.",1,350,NO,NO,0,0,
,Service,Green to Clean,,1,199,NO,NO,0,0,
,Product,Rola Chem 30 gal Chemical Tank with Cover,,1,299,NO,NO,0,0,
,Service,Rola Chem Interlock,"Install Rola-Chem interlocking system to ensure chemical feeder is automatically disabled when the circulation pump is off, in compliance with safety code requirements. Includes wiring integration with pump relay, testing of interlock function, and verification of proper chemical feed shutdown.",1,498,NO,NO,0,0,
,Service,Hose Bibb Anti Siphon Device,Install code-compliant anti-siphon vacuum breaker on hose bib to prevent backflow and protect potable water supply from contamination. Ensured secure fit and leak-free operation.,1,99,NO,NO,0,0,
,Service,Installation - Flow Meter,Remove existing non-functional flow meter and install a new inline flow meter rated for pool application. Ensure compatibility with existing plumbing diameter and verify proper orientation and calibration for accurate flow rate monitoring. Test system post-installation to confirm operational accuracy and leak-free performance.,1,324,NO,NO,0,0,
,Service,Skimmer Assembly,Remove damaged or missing skimmer weir. Install new spring-loaded floating weir door to improve surface skimming efficiency and prevent debris from re-entering the pool. Verify free movement and proper function with existing water flow.,1,75,NO,NO,0,0,
,Service,Installation - Pool Inlet Eyeball Fittings,"Remove and replace existing directional inlet fittings due to age, damage, or loss of directional flow control. Install new eyeball fittings compatible with existing wall return fittings to restore proper circulation and improve water movement.",1,179,NO,NO,0,0,
,Service,Installation - Depth Markers,"Furnish and install high-contrast, code-compliant ceramic tile markers along pool perimeter and interior surfaces to indicate water depth, step edges, and designated swim lanes. Markers set in waterproof epoxy grout and aligned per local health and safety regulations to enhance swimmer visibility, orientation, and hazard prevention.",1,139,NO,NO,0,0,
,Service,Installation - Safety Signs,Installation of Pool Safety Sign – Mounting of standard safety signage in accordance with local regulations. Sign is installed in a visible and compliant location using weather-resistant hardware.,1,149,NO,NO,0,0,
,Service,Installation - Lightbulb and Canister,"Installation – Pool Lightbulb and Canister Replacement Remove existing bulb and light canister. Install new replacement pool light bulb, gasket, retaining ring, and light canister. Includes inspection of electrical connections, sealing surfaces, and niche; resealing the unit; and testing to ensure proper operation and watertight integrity.",1,1800,NO,NO,0,0,
,Product,Filter Cartridge - CL580,,1,597,NO,NO,0,0,
,Service,Rola Chem Interlock Pool & Spa,"Install Rola-Chem interlocking system for both pool and spa to ensure chemical feeders are automatically disabled when the circulation pump is off, in compliance with safety code requirements. Scope includes wiring integration with pump relays, testing of interlock functionality on both bodies of water, and verification of proper chemical feed shutdown.",1,749,NO,NO,0,0,
,Service,Tab Feeder Diagnostic & Repair,"Disassemble and inspect tab feeder mechanism. Clean and lubricate moving components, replace worn or damaged parts, recalibrate feed timing and alignment, and perform test runs to verify smooth and consistent operation.",1,229,NO,NO,0,0,
,Service,Algae Treatment,"Inspect pool water and surfaces for algae growth. Apply algaecide and chlorine shock to kill and remove algae. Brush pool walls and floor, clean filters, and rebalance water chemistry to restore clear, safe swimming conditions.",1,149,NO,NO,0,0,
,Service,Pipe Inspection Dive,"Specialized dive service required to verify pool piping dimensions as per EMD directive. Certified dive technician to enter pool, unfasten and remove VGB covers, accurately measure suction piping, and document findings for compliance review.",1,449,NO,NO,0,0,
,Service,Skimmer Basket Replacement,Remove and dispose of existing damaged skimmer basket. Supply and install new skimmer basket compatible with existing skimmer housing. Verify proper fit and operation upon completion.,1,75,NO,NO,0,0,
,Service,Rola Chem - Hose Assembly,"Replace Rola-Chem Hose Assembly for Rola-Chem RC-103, RC-25/53, RC-503 Peristaltic Pumps, Tygon",1,149,NO,NO,0,0,
,Service,Rola Chem - Pinch Tube,Replace Rola-Chem Squeeze Tube,0,75,NO,NO,0,0,
,Service,Diagnostic - Light Diagnostic & Bulb Replacement,"Inspect and test pool light circuit, including GFCI outlet, switch, and fixture. Replace bulb if found inoperative. If light does not function after bulb replacement, additional electrical diagnosis or component repair will be required (GFCI, wiring, or fixture).",1,499,NO,NO,0,0,
,Service,Plumbing - Check Valve Install,"Install one-way check valve in plumbing line to prevent backflow. Includes parts, fittings, and labor.",1,345,NO,NO,0,0,
,Service,Pump - Permit,"Obtain Sacramento County building permit for pool pump replacement. Required when changing pumps; verify mechanical/electrical requirements with county. Includes application, fees, and processing.",1,239,NO,NO,0,0,
,Service,VGB Cover - AB1020 Compliance,"Complete and submit AB 1020 VGB compliance form (California Health & Safety Code §116064.2) after VGB replacement. Includes application, fees, and processing.",1,249,NO,NO,0,0,
,Service,Pump - Bearing Replacement,"Remove pump and motor assembly. Press out failed bearings and install new sealed bearings to manufacturer specifications. Replace the mechanical seal set. Inspect the impeller, volute, shaft sleeve, and end bell tolerances. Reassemble and align the pump. Conduct an amperage draw test and verify hydraulic performance.",1,399,NO,NO,0,0,
,Service,Pump - Drive Unit Replacement,"Supply and install new pool pump drive unit. Scope includes removal of existing drive, installation of replacement unit, reconnection of electrical components, programming and calibration of pump settings, and full system testing to ensure proper performance.",1,899,NO,NO,0,0,
,Service,Plumbing - Float Valve,"Remove existing float valve, clear debris, inspect skimmer well and equalizer line, and install new skimmer float/diverter valve to restore proper water flow and pump protection. Includes testing system operation after installation",1,149,NO,NO,0,0,
,Product,Pump - Impeller,"Remove and replace pump impeller; includes pump disassembly, inspection of diffuser and seal plate, removal of worn/broken impeller, installation of new impeller, reassembly of pump wet end, and system restart to verify proper flow and operation.",1,155,NO,NO,0,0,
,Service,Pump - Diffuser,"Remove and replace pump diffuser; includes disassembly of pump wet end, inspection of impeller and seal plate, removal of damaged/eroded diffuser, installation of new diffuser and diffuser O-ring, reassembly of wet end, and system restart to verify proper prime, flow rate, and quiet operation.",1,225,NO,NO,0,0,
,Service,Pump - Key Pad Assembly,"Diagnose, remove, and replace the existing pump keypad/control interface assembly. Includes installation of manufacturer-approved replacement keypad, reconnection of wiring and communication interfaces, configuration as required, and full operational testing to verify proper pump functionality and control response.",1,589,NO,NO,0,0,

